year,statefip,met2013,perwt,sex,age,race,hispan,bpl,educd,empstat,uhrswork,inctot,incwage
"2019","Mississippi","Memphis, TN-MS-AR",77.00,"Female","57","Black/African American/Negro","Not Hispanic","Arkansas","Bachelor's degree","Not in labor force","25",10000,10000
"2019","Mississippi","Memphis, TN-MS-AR",150.00,"Male","20","Black/African American/Negro","Not Hispanic","Arkansas","Regular high school diploma","Employed","40",22000,22000
"2019","Mississippi","Memphis, TN-MS-AR",50.00,"Male","70","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","5",4400,0
"2019","Mississippi","Memphis, TN-MS-AR",84.00,"Female","26","White","Not Hispanic","Alabama","Associate's degree, type not specified","Employed","25",20000,20000
"2019","Mississippi","Memphis, TN-MS-AR",59.00,"Male","6","White","Not Hispanic","Florida","Kindergarten","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",62.00,"Female","4","White","Not Hispanic","Florida","Nursery school, preschool","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",58.00,"Male","24","White","Not Hispanic","Florida","Grade 10","Employed","40",2300,2300
"2019","Mississippi","Memphis, TN-MS-AR",50.00,"Female","68","White","Not Hispanic","Tennessee","Associate's degree, type not specified","Not in labor force","N/A",6000,0
"2019","Mississippi","Memphis, TN-MS-AR",60.00,"Male","72","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","40",82200,22000
"2019","Mississippi","Memphis, TN-MS-AR",97.00,"Female","42","White","Not Hispanic","Tennessee","Master's degree","Employed","40",72000,72000
"2019","Mississippi","Memphis, TN-MS-AR",93.00,"Female","34","White","Not Hispanic","Tennessee","Associate's degree, type not specified","Employed","8",20000,20000
"2019","Mississippi","Memphis, TN-MS-AR",97.00,"Male","31","White","Not Hispanic","Tennessee","Master's degree","Employed","40",33600,33600
"2019","Mississippi","Memphis, TN-MS-AR",76.00,"Female","5","White","Not Hispanic","Illinois","Nursery school, preschool","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",56.00,"Male","46","White","Not Hispanic","Massachusetts","1 or more years of college credit, no degree","Employed","42",35000,35000
"2019","Mississippi","Memphis, TN-MS-AR",152.00,"Female","52","Black/African American/Negro","Not Hispanic","Tennessee","Regular high school diploma","Employed","60",42000,42000
"2019","Mississippi","Memphis, TN-MS-AR",173.00,"Male","29","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","52",53000,53000
"2019","Mississippi","Memphis, TN-MS-AR",151.00,"Female","29","White","Not Hispanic","Tennessee","Regular high school diploma","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",30.00,"Male","75","White","Not Hispanic","Tennessee","Regular high school diploma","Not in labor force","N/A",28000,0
"2019","Mississippi","Memphis, TN-MS-AR",48.00,"Female","68","White","Not Hispanic","Tennessee","GED or alternative credential","Not in labor force","N/A",7200,0
"2019","Mississippi","Memphis, TN-MS-AR",61.00,"Male","56","White","Not Hispanic","Tennessee","Regular high school diploma","Not in labor force","N/A",34700,0
"2019","Mississippi","Memphis, TN-MS-AR",77.00,"Female","53","White","Not Hispanic","Tennessee","Associate's degree, type not specified","Employed","32",120000,120000
"2019","Mississippi","Memphis, TN-MS-AR",103.00,"Female","26","White","Not Hispanic","Tennessee","Master's degree","Employed","20",45000,45000
"2019","Mississippi","Memphis, TN-MS-AR",22.00,"Male","84","White","Not Hispanic","Missouri","Some college, but less than 1 year","Not in labor force","N/A",17900,0
"2019","Mississippi","Memphis, TN-MS-AR",28.00,"Female","83","White","Not Hispanic","Illinois","Master's degree","Not in labor force","N/A",118900,0
"2019","Mississippi","Memphis, TN-MS-AR",95.00,"Male","45","White","Mexican","California","Bachelor's degree","Employed","50",50000,50000
"2019","Mississippi","Memphis, TN-MS-AR",122.00,"Female","44","White","Not Hispanic","Mississippi","GED or alternative credential","Not in labor force","N/A",13000,0
"2019","Mississippi","Memphis, TN-MS-AR",146.00,"Male","20","White","Mexican","Arizona","Regular high school diploma","Not in labor force","6",9100,300
"2019","Mississippi","Memphis, TN-MS-AR",63.00,"Male","17","White","Mexican","Arizona","Grade 11","Not in labor force","32",8000,8000
"2019","Mississippi","Memphis, TN-MS-AR",101.00,"Female","13","White","Mexican","Arizona","Grade 6","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",75.00,"Female","77","White","Not Hispanic","California","Regular high school diploma","Not in labor force","N/A",26400,0
"2019","Mississippi","Memphis, TN-MS-AR",101.00,"Male","74","White","Not Hispanic","California","1 or more years of college credit, no degree","Employed","40",57700,37000
"2019","Mississippi","Memphis, TN-MS-AR",77.00,"Female","22","White","Not Hispanic","Mississippi","Bachelor's degree","Employed","45",50000,50000
"2019","Mississippi","Memphis, TN-MS-AR",33.00,"Female","86","White","Not Hispanic","Mississippi","Regular high school diploma","Not in labor force","N/A",11880,0
"2019","Mississippi","Memphis, TN-MS-AR",98.00,"Male","26","White","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Employed","40",10000,10000
"2019","Mississippi","Memphis, TN-MS-AR",40.00,"Male","61","White","Not Hispanic","Mississippi","Bachelor's degree","Employed","40",60000,60000
"2019","Mississippi","Memphis, TN-MS-AR",38.00,"Female","55","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","40",27100,35000
"2019","Mississippi","Memphis, TN-MS-AR",52.00,"Female","56","White","Not Hispanic","Tennessee","Bachelor's degree","Employed","45",123000,115000
"2019","Mississippi","Memphis, TN-MS-AR",178.00,"Female","75","White","Not Hispanic","Massachusetts","Regular high school diploma","Not in labor force","N/A",32500,0
"2019","Mississippi","Memphis, TN-MS-AR",169.00,"Male","79","White","Not Hispanic","Pennsylvania","Regular high school diploma","Not in labor force","N/A",49600,0
"2019","Mississippi","Memphis, TN-MS-AR",422.00,"Male","44","Black/African American/Negro","Not Hispanic","Mississippi","Regular high school diploma","Employed","45",20000,20000
"2019","Mississippi","Memphis, TN-MS-AR",236.00,"Male","59","White","Not Hispanic","Louisiana","GED or alternative credential","Employed","60",40000,40000
"2019","Mississippi","Memphis, TN-MS-AR",41.00,"Male","47","White","Not Hispanic","Oklahoma","Bachelor's degree","Employed","40",58000,58000
"2019","Mississippi","Memphis, TN-MS-AR",65.00,"Male","59","White","Not Hispanic","Tennessee","Grade 10","Employed","40",26000,0
"2019","Mississippi","Memphis, TN-MS-AR",61.00,"Female","58","White","Not Hispanic","Mississippi","GED or alternative credential","Employed","35",15000,15000
"2019","Mississippi","Memphis, TN-MS-AR",91.00,"Female","74","White","Not Hispanic","Arkansas","Grade 11","Not in labor force","N/A",16200,0
"2019","Mississippi","Memphis, TN-MS-AR",63.00,"Male","77","White","Not Hispanic","Virginia","Grade 11","Not in labor force","N/A",43000,0
"2019","Mississippi","Memphis, TN-MS-AR",111.00,"Female","65","White","Not Hispanic","Oklahoma","Bachelor's degree","Employed","20",58050,45300
"2019","Mississippi","Memphis, TN-MS-AR",63.00,"Male","66","White","Not Hispanic","Ohio","GED or alternative credential","Employed","15",21700,8000
"2019","Mississippi","Memphis, TN-MS-AR",116.00,"Male","37","White","Not Hispanic","Louisiana","12th grade, no diploma","Employed","15",6000,6000
"2019","Mississippi","Memphis, TN-MS-AR",114.00,"Male","38","White","Mexican","Illinois","Associate's degree, type not specified","Employed","40",105000,80000
"2019","Mississippi","Memphis, TN-MS-AR",140.00,"Female","36","White","Mexican","Illinois","Associate's degree, type not specified","Employed","35",5000,5000
"2019","Mississippi","Memphis, TN-MS-AR",123.00,"Male","12","White","Mexican","Mississippi","Grade 5","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",81.00,"Female","4","White","Mexican","Mississippi","Nursery school, preschool","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",17.00,"Male","76","White","Not Hispanic","Ohio","Regular high school diploma","Not in labor force","N/A",34000,0
"2019","Mississippi","Memphis, TN-MS-AR",19.00,"Female","81","White","Not Hispanic","Ohio","12th grade, no diploma","Not in labor force","N/A",11800,0
"2019","Mississippi","Memphis, TN-MS-AR",47.00,"Male","54","White","Not Hispanic","California","12th grade, no diploma","Employed","30",15000,0
"2019","Mississippi","Memphis, TN-MS-AR",150.00,"Female","2","White","Puerto Rican","Mississippi","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",111.00,"Male","42","White","Not Hispanic","Texas","Bachelor's degree","Employed","50",75000,75000
"2019","Mississippi","Memphis, TN-MS-AR",88.00,"Male","5","Two major races","Not Hispanic","Mississippi","No schooling completed","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",150.00,"Female","71","White","Not Hispanic","Texas","Regular high school diploma","Not in labor force","N/A",20000,0
"2019","Mississippi","Memphis, TN-MS-AR",197.00,"Male","47","Black/African American/Negro","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","45",32000,32000
"2019","Mississippi","Memphis, TN-MS-AR",299.00,"Female","48","Black/African American/Negro","Not Hispanic","Mississippi","Grade 11","Unemployed","10",250,250
"2019","Mississippi","Memphis, TN-MS-AR",383.00,"Female","16","Black/African American/Negro","Not Hispanic","Tennessee","Grade 9","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",78.00,"Male","46","White","Not Hispanic","Mississippi","Some college, but less than 1 year","Employed","30",6000,0
"2019","Mississippi","Memphis, TN-MS-AR",118.00,"Male","16","White","Not Hispanic","Mississippi","Grade 9","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",205.00,"Female","13","Two major races","Not Hispanic","Alabama","Grade 7","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",309.00,"Female","49","White","Not Hispanic","Indiana","Master's degree","Employed","40",55000,55000
"2019","Mississippi","Memphis, TN-MS-AR",230.00,"Male","48","White","Not Hispanic","Tennessee","Bachelor's degree","Employed","55",100000,100000
"2019","Mississippi","Memphis, TN-MS-AR",326.00,"Female","17","White","Not Hispanic","Tennessee","Grade 10","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",371.00,"Male","14","White","Not Hispanic","Tennessee","Grade 8","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",62.00,"Male","49","White","Not Hispanic","Florida","Master's degree","Employed","40",64000,54000
"2019","Mississippi","Memphis, TN-MS-AR",110.00,"Female","44","White","Not Hispanic","Georgia","Master's degree","Employed","40",54000,54000
"2019","Mississippi","Memphis, TN-MS-AR",90.00,"Female","16","White","Not Hispanic","Mississippi","Grade 11","Employed","15",1800,1800
"2019","Mississippi","Memphis, TN-MS-AR",90.00,"Female","15","White","Not Hispanic","Mississippi","Grade 9","N/A","N/A",0,999999
"2019","Mississippi","Memphis, TN-MS-AR",102.00,"Male","12","White","Not Hispanic","Mississippi","Grade 7","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",105.00,"Female","10","White","Not Hispanic","Mississippi","Grade 5","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",84.00,"Male","69","Black/African American/Negro","Not Hispanic","Louisiana","Regular high school diploma","Not in labor force","N/A",4300,0
"2019","Mississippi","Memphis, TN-MS-AR",130.00,"Male","33","White","Not Hispanic","West Virginia","1 or more years of college credit, no degree","Employed","70",50000,50000
"2019","Mississippi","Memphis, TN-MS-AR",150.00,"Female","25","White","Not Hispanic","West Virginia","1 or more years of college credit, no degree","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",122.00,"Male","3","White","Not Hispanic","West Virginia","No schooling completed","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",122.00,"Male","1","White","Not Hispanic","West Virginia","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",89.00,"Male","7","Other Asian or Pacific Islander","Not Hispanic","Mississippi","Grade 1","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",89.00,"Male","1","Other Asian or Pacific Islander","Not Hispanic","Mississippi","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",107.00,"Female","47","White","Not Hispanic","Florida","1 or more years of college credit, no degree","Employed","40",157000,150000
"2019","Mississippi","Memphis, TN-MS-AR",113.00,"Male","22","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","25",4000,4000
"2019","Mississippi","Memphis, TN-MS-AR",106.00,"Female","28","Black/African American/Negro","Not Hispanic","Louisiana","1 or more years of college credit, no degree","Employed","44",46000,46000
"2019","Mississippi","Memphis, TN-MS-AR",73.00,"Female","51","White","Not Hispanic","Mississippi","Bachelor's degree","Employed","40",45000,45000
"2019","Mississippi","Memphis, TN-MS-AR",75.00,"Male","52","White","Not Hispanic","Mississippi","Associate's degree, type not specified","Employed","45",65000,65000
"2019","Mississippi","Memphis, TN-MS-AR",62.00,"Female","16","White","Not Hispanic","Tennessee","Grade 10","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",47.00,"Female","86","White","Not Hispanic","Mississippi","Regular high school diploma","Not in labor force","N/A",16900,0
"2019","Mississippi","Memphis, TN-MS-AR",36.00,"Female","86","White","Not Hispanic","Mississippi","Grade 10","Not in labor force","N/A",19200,0
"2019","Mississippi","Memphis, TN-MS-AR",144.00,"Male","57","Black/African American/Negro","Not Hispanic","North Carolina","Bachelor's degree","Employed","40",47000,47000
"2019","Mississippi","Memphis, TN-MS-AR",258.00,"Female","41","Black/African American/Negro","Not Hispanic","Tennessee","Regular high school diploma","Employed","40",50000,50000
"2019","Mississippi","Memphis, TN-MS-AR",283.00,"Female","21","Black/African American/Negro","Not Hispanic","Tennessee","Grade 10","Unemployed","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",236.00,"Male","18","Black/African American/Negro","Not Hispanic","Tennessee","Grade 10","Employed","30",11200,11200
"2019","Mississippi","Memphis, TN-MS-AR",214.00,"Female","67","Black/African American/Negro","Not Hispanic","Mississippi","Regular high school diploma","Not in labor force","N/A",1400,0
"2019","Mississippi","Memphis, TN-MS-AR",59.00,"Male","56","White","Not Hispanic","Mississippi","Regular high school diploma","Employed","40",40000,40000
"2019","Mississippi","Memphis, TN-MS-AR",58.00,"Female","56","White","Not Hispanic","Arkansas","Regular high school diploma","Employed","40",40000,40000
"2019","Mississippi","Memphis, TN-MS-AR",73.00,"Female","28","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",67.00,"Male","30","White","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Employed","50",90000,90000
"2019","Mississippi","Memphis, TN-MS-AR",62.00,"Male","7","White","Not Hispanic","Mississippi","Kindergarten","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",65.00,"Female","5","White","Not Hispanic","Mississippi","Nursery school, preschool","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",71.00,"Female","57","White","Not Hispanic","Tennessee","Grade 10","Employed","40",74500,67000
"2019","Mississippi","Memphis, TN-MS-AR",53.00,"Male","49","White","Not Hispanic","Mississippi","Master's degree","Employed","50",100240,100000
"2019","Mississippi","Memphis, TN-MS-AR",64.00,"Male","33","White","Not Hispanic","Tennessee","Regular high school diploma","Employed","40",50740,50000
"2019","Mississippi","Memphis, TN-MS-AR",53.00,"Male","65","White","Not Hispanic","California","Master's degree","Employed","40",438500,385000
"2019","Mississippi","Memphis, TN-MS-AR",54.00,"Female","61","White","Not Hispanic","Mississippi","Bachelor's degree","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",71.00,"Female","65","White","Not Hispanic","Idaho","Bachelor's degree","Employed","55",98000,98000
"2019","Mississippi","Memphis, TN-MS-AR",116.00,"Female","38","White","Mexican","California","Regular high school diploma","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",53.00,"Female","16","Two major races","Mexican","Mississippi","Grade 9","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",85.00,"Female","8","White","Mexican","Mississippi","Grade 1","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",90.00,"Female","65","White","Not Hispanic","Tennessee","Master's degree","Employed","60",167800,130000
"2019","Mississippi","Memphis, TN-MS-AR",56.00,"Female","74","White","Not Hispanic","Mississippi","Bachelor's degree","Not in labor force","N/A",40850,0
"2019","Mississippi","Memphis, TN-MS-AR",230.00,"Male","24","White","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Employed","45",40000,40000
"2019","Mississippi","Memphis, TN-MS-AR",262.00,"Female","24","White","Not Hispanic","Mississippi","Associate's degree, type not specified","Employed","15",2000,2000
"2019","Mississippi","Memphis, TN-MS-AR",197.00,"Female","39","Black/African American/Negro","Not Hispanic","Mississippi","Master's degree","Employed","40",30000,30000
"2019","Mississippi","Memphis, TN-MS-AR",168.00,"Male","22","Black/African American/Negro","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Unemployed","40",18000,18000
"2019","Mississippi","Memphis, TN-MS-AR",153.00,"Male","13","Black/African American/Negro","Not Hispanic","Mississippi","Grade 7","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",46.00,"Male","54","White","Not Hispanic","Mississippi","Grade 11","Not in labor force","N/A",18400,0
"2019","Mississippi","Memphis, TN-MS-AR",61.00,"Male","63","Black/African American/Negro","Not Hispanic","Mississippi","Grade 11","Not in labor force","N/A",22900,0
"2019","Mississippi","Memphis, TN-MS-AR",51.00,"Female","55","Black/African American/Negro","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","64",22000,22000
"2019","Mississippi","Memphis, TN-MS-AR",106.00,"Male","27","Black/African American/Negro","Not Hispanic","Tennessee","Associate's degree, type not specified","Employed","40",22800,22800
"2019","Mississippi","Memphis, TN-MS-AR",52.00,"Female","55","White","Not Hispanic","Ohio","Associate's degree, type not specified","Employed","40",22100,22100
"2019","Mississippi","Memphis, TN-MS-AR",58.00,"Male","55","White","Not Hispanic","Tennessee","Master's degree","Employed","40",425000,385000
"2019","Mississippi","Memphis, TN-MS-AR",149.00,"Female","41","Black/African American/Negro","Not Hispanic","Mississippi","Master's degree","Employed","40",91000,91000
"2019","Mississippi","Memphis, TN-MS-AR",104.00,"Male","48","Black/African American/Negro","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Employed","50",100000,100000
"2019","Mississippi","Memphis, TN-MS-AR",130.00,"Male","13","Black/African American/Negro","Not Hispanic","Tennessee","Grade 7","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",133.00,"Male","51","White","Not Hispanic","South Carolina","Professional degree beyond a bachelor's degree","Employed","44",385000,385000
"2019","Mississippi","Memphis, TN-MS-AR",139.00,"Female","50","White","Not Hispanic","Tennessee","Professional degree beyond a bachelor's degree","Employed","32",160000,160000
"2019","Mississippi","Memphis, TN-MS-AR",67.00,"Female","36","White","Not Hispanic","Tennessee","GED or alternative credential","Employed","45",25000,25000
"2019","Mississippi","Memphis, TN-MS-AR",87.00,"Male","39","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","45",40000,40000
"2019","Mississippi","Memphis, TN-MS-AR",65.00,"Male","9","White","Not Hispanic","Mississippi","Grade 3","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",63.00,"Male","4","White","Not Hispanic","Mississippi","Nursery school, preschool","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",63.00,"Male","1","White","Not Hispanic","Mississippi","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",179.00,"Female","24","White","Not Hispanic","Tennessee","Grade 10","Employed","40",42000,42000
"2019","Mississippi","Memphis, TN-MS-AR",222.00,"Male","32","White","Not Hispanic","Tennessee","GED or alternative credential","Employed","40",6000,6000
"2019","Mississippi","Memphis, TN-MS-AR",207.00,"Male","6","White","Not Hispanic","Tennessee","Kindergarten","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",57.00,"Male","56","White","Not Hispanic","Texas","1 or more years of college credit, no degree","Employed","50",40000,40000
"2019","Mississippi","Memphis, TN-MS-AR",55.00,"Female","61","White","Not Hispanic","Alabama","12th grade, no diploma","Employed","50",12000,12000
"2019","Mississippi","Memphis, TN-MS-AR",79.00,"Male","18","White","Not Hispanic","Tennessee","Regular high school diploma","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",121.00,"Female","27","White","Not Hispanic","Mississippi","Bachelor's degree","Employed","20",30000,30000
"2019","Mississippi","Memphis, TN-MS-AR",112.00,"Male","28","Other race, nec","Mexican","Texas","1 or more years of college credit, no degree","Employed","60",78000,78000
"2019","Mississippi","Memphis, TN-MS-AR",61.00,"Female","2","Two major races","Mexican","Mississippi","N/A","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",103.00,"Male","72","White","Not Hispanic","Alabama","Doctoral degree","Not in labor force","N/A",2700,0
"2019","Mississippi","Memphis, TN-MS-AR",89.00,"Female","68","White","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Not in labor force","N/A",5000,0
"2019","Mississippi","Memphis, TN-MS-AR",95.00,"Female","44","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Employed","40",37200,33000
"2019","Mississippi","Memphis, TN-MS-AR",80.00,"Male","58","White","Not Hispanic","Tennessee","Bachelor's degree","Employed","55",140000,140000
"2019","Mississippi","Memphis, TN-MS-AR",66.00,"Male","34","White","Not Hispanic","Tennessee","Associate's degree, type not specified","Employed","50",94740,0
"2019","Mississippi","Memphis, TN-MS-AR",65.00,"Female","34","White","Not Hispanic","Louisiana","Bachelor's degree","Not in labor force","N/A",55000,0
"2019","Mississippi","Memphis, TN-MS-AR",66.00,"Female","6","White","Not Hispanic","Tennessee","Kindergarten","N/A","N/A",9999999,999999
"2019","Mississippi","Memphis, TN-MS-AR",59.00,"Female","61","White","Not Hispanic","California","Regular high school diploma","Employed","40",59000,59000
"2019","Mississippi","Memphis, TN-MS-AR",79.00,"Male","54","White","Not Hispanic","Tennessee","GED or alternative credential","Employed","50",52280,52000
"2019","Mississippi","Memphis, TN-MS-AR",282.00,"Male","50","White","Not Hispanic","Illinois","1 or more years of college credit, no degree","Employed","40",81000,81000
"2019","Mississippi","Memphis, TN-MS-AR",251.00,"Male","22","White","Not Hispanic","Mississippi","1 or more years of college credit, no degree","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",251.00,"Male","20","White","Not Hispanic","Tennessee","1 or more years of college credit, no degree","Not in labor force","N/A",0,0
"2019","Mississippi","Memphis, TN-MS-AR",264.00,"Female","44","Black/African American/Negro","Not Hispanic","Tennessee","Regular high school diploma","Employed","40",23000,23000
